source,target,Tipo,Linea,Accesible_PCD
Balbuena,Balderas_1,Secuencial,1,1
Balderas_1,Boulevard_Puerto_Aereo,Secuencial,1,0
Boulevard_Puerto_Aereo,Candelaria_1,Secuencial,1,0
Candelaria_1,Chapultepec,Secuencial,1,0
Chapultepec,Cuauhtemoc,Secuencial,1,0
Cuauhtemoc,Gomez_Farias,Secuencial,1,0
Gomez_Farias,Insurgentes,Secuencial,1,0
Insurgentes,Isabel_la_Catolica,Secuencial,1,0
Isabel_la_Catolica,Juanacatlan,Secuencial,1,0
Juanacatlan,Merced,Secuencial,1,0
Merced,Moctezuma,Secuencial,1,0
Moctezuma,Observatorio,Secuencial,1,0
Observatorio,Pantitlan_1,Secuencial,1,0
Pantitlan_1,Pino_Suarez_1,Secuencial,1,0
Pino_Suarez_1,Salto_del_Agua_1,Secuencial,1,1
Salto_del_Agua_1,San_Lazaro_1,Secuencial,1,0
San_Lazaro_1,Sevilla,Secuencial,1,0
Sevilla,Tacubaya_1,Secuencial,1,1
Tacubaya_1,Zaragoza,Secuencial,1,0
Allende,Bellas_Artes_2,Secuencial,2,0
Bellas_Artes_2,Chabacano_9,Secuencial,2,0
Chabacano_9,Colegio_Militar,Secuencial,2,0
Colegio_Militar,Cuatro_Caminos,Secuencial,2,0
Cuatro_Caminos,Cuitlahuac,Secuencial,2,0
Cuitlahuac,Ermita_2,Secuencial,2,0
Ermita_2,General_Anaya,Secuencial,2,0
General_Anaya,Hidalgo_2,Secuencial,2,0
Hidalgo_2,Nativitas,Secuencial,2,0
Nativitas,Normal,Secuencial,2,0
Normal,Panteones,Secuencial,2,0
Panteones,Pino_Suarez_2,Secuencial,2,0
Pino_Suarez_2,Popotla,Secuencial,2,0
Popotla,Portales,Secuencial,2,0
Portales,Revolucion,Secuencial,2,0
Revolucion,San_Antonio_Abad,Secuencial,2,0
San_Antonio_Abad,San_Cosme,Secuencial,2,0
San_Cosme,Tacuba_2,Secuencial,2,0
Tacuba_2,Tasquena,Secuencial,2,0
Tasquena,Viaducto,Secuencial,2,0
Viaducto,Villa_de_Cortes,Secuencial,2,0
Villa_de_Cortes,Xola,Secuencial,2,0
Xola,Zocalo,Secuencial,2,0
Balderas_3,Centro_Medico_3,Secuencial,3,1
Centro_Medico_3,Copilco,Secuencial,3,1
Copilco,Coyoacan,Secuencial,3,0
Coyoacan,Deportivo_18_de_Marzo_3,Secuencial,3,0
Deportivo_18_de_Marzo_3,Division_del_Norte,Secuencial,3,0
Division_del_Norte,Etiopia,Secuencial,3,0
Etiopia,Eugenia,Secuencial,3,0
Eugenia,Guerrero_3,Secuencial,3,0
Guerrero_3,Hidalgo_3,Secuencial,3,0
Hidalgo_3,Hospital_General,Secuencial,3,0
Hospital_General,Indios_Verdes,Secuencial,3,0
Indios_Verdes,Juarez,Secuencial,3,0
Juarez,La_Raza_3,Secuencial,3,0
La_Raza_3,Miguel_Angel_de_Quevedo,Secuencial,3,0
Miguel_Angel_de_Quevedo,Ninos_Heroes,Secuencial,3,0
Ninos_Heroes,Potrero,Secuencial,3,0
Potrero,Tlatelolco,Secuencial,3,0
Tlatelolco,Universidad,Secuencial,3,0
Universidad,Viveros,Secuencial,3,0
Viveros,Zapata_3,Secuencial,3,0
Bondojito,Canal_del_Norte,Secuencial,4,0
Canal_del_Norte,Candelaria_4,Secuencial,4,0
Candelaria_4,Consulado_4,Secuencial,4,0
Consulado_4,Fray_Servando,Secuencial,4,0
Fray_Servando,Jamaica_4,Secuencial,4,0
Jamaica_4,Martin_Carrera_4,Secuencial,4,0
Martin_Carrera_4,Morelos_4,Secuencial,4,0
Morelos_4,Santa_Anita_4,Secuencial,4,0
Santa_Anita_4,Talisman,Secuencial,4,0
Aragon,Autobuses_del_Norte,Secuencial,5,0
Autobuses_del_Norte,Consulado_5,Secuencial,5,0
Consulado_5,Eduardo_Molina,Secuencial,5,0
Eduardo_Molina,Hangares,Secuencial,5,0
Hangares,Instituto_del_Petroleo_5,Secuencial,5,0
Instituto_del_Petroleo_5,La_Raza_5,Secuencial,5,0
La_Raza_5,Misterios,Secuencial,5,0
Misterios,Oceania_5,Secuencial,5,0
Oceania_5,Pantitlan_5,Secuencial,5,0
Pantitlan_5,Politecnico,Secuencial,5,0
Politecnico,Terminal_Aerea,Secuencial,5,0
Terminal_Aerea,Valle_Gomez,Secuencial,5,0
Azcapotzalco,Deportivo_18_de_Marzo_6,Secuencial,6,0
Deportivo_18_de_Marzo_6,El_Rosario_6,Secuencial,6,0
El_Rosario_6,Ferreria,Secuencial,6,0
Ferreria,Instituto_del_Petroleo_6,Secuencial,6,0
Instituto_del_Petroleo_6,La_Villa,Secuencial,6,0
La_Villa,Lindavista,Secuencial,6,0
Lindavista,Martin_Carrera_6,Secuencial,6,0
Martin_Carrera_6,Norte_45,Secuencial,6,0
Norte_45,Tezozomoc,Secuencial,6,0
Tezozomoc,Vallejo,Secuencial,6,0
Aquiles_Serdan,Auditorio,Secuencial,7,0
Auditorio,Barranca_del_Muerto,Secuencial,7,0
Barranca_del_Muerto,Camarones,Secuencial,7,0
Camarones,Constituyentes,Secuencial,7,0
Constituyentes,El_Rosario_7,Secuencial,7,0
El_Rosario_7,Mixcoac_7,Secuencial,7,0
Mixcoac_7,Polanco,Secuencial,7,0
Polanco,Refineria,Secuencial,7,0
Refineria,San_Antonio,Secuencial,7,0
San_Antonio,San_Joaquin,Secuencial,7,0
San_Joaquin,San_Pedro_de_los_Pinos,Secuencial,7,0
San_Pedro_de_los_Pinos,Tacuba_7,Secuencial,7,0
Tacuba_7,Tacubaya_7,Secuencial,7,0
Aculco,Apatlaco,Secuencial,8,0
Apatlaco,Atlalilco_8,Secuencial,8,0
Atlalilco_8,Bellas_Artes_8,Secuencial,8,0
Bellas_Artes_8,Cerro_de_la_Estrella,Secuencial,8,0
