source,target,Tipo,Linea,Accesible_PCD
Observatorio,Tacubaya_1,Secuencial,1,0
Tacubaya_1,Juanacatlan,Secuencial,1,0
Juanacatlan,Chapultepec,Secuencial,1,0
Chapultepec,Sevilla,Secuencial,1,0
Sevilla,Insurgentes,Secuencial,1,0
Insurgentes,Cuauhtemoc,Secuencial,1,0
Cuauhtemoc,Balderas_1,Secuencial,1,1
Balderas_1,Salto_del_Agua_1,Secuencial,1,1
Salto_del_Agua_1,Isabel_la_Catolica,Secuencial,1,0
Isabel_la_Catolica,Pino_Suarez_1,Secuencial,1,0
Pino_Suarez_1,Merced,Secuencial,1,0
Merced,Candelaria_1,Secuencial,1,0
Candelaria_1,San_Lazaro_1,Secuencial,1,0
San_Lazaro_1,Moctezuma,Secuencial,1,0
Moctezuma,Balbuena,Secuencial,1,1
Balbuena,Boulevard_Puerto_Aereo,Secuencial,1,0
Boulevard_Puerto_Aereo,Gomez_Farias,Secuencial,1,0
Gomez_Farias,Zaragoza,Secuencial,1,0
Zaragoza,Pantitlan_1,Secuencial,1,0
Cuatro_Caminos,Panteones,Secuencial,2,0
Panteones,Tacuba_2,Secuencial,2,0
Tacuba_2,Cuitlahuac,Secuencial,2,0
Cuitlahuac,Popotla,Secuencial,2,0
Popotla,Colegio_Militar,Secuencial,2,0
Colegio_Militar,Normal,Secuencial,2,0
Normal,San_Cosme,Secuencial,2,0
San_Cosme,Revolucion,Secuencial,2,0
Revolucion,Hidalgo_2,Secuencial,2,0
Hidalgo_2,Bellas_Artes_2,Secuencial,2,0
Bellas_Artes_2,Allende,Secuencial,2,0
Allende,Zocalo,Secuencial,2,0
Zocalo,Pino_Suarez_2,Secuencial,2,0
Pino_Suarez_2,San_Antonio_Abad,Secuencial,2,0
San_Antonio_Abad,Chabacano_2,Secuencial,2,0
Chabacano_2,Viaducto,Secuencial,2,0
Viaducto,Xola,Secuencial,2,0
Xola,Villa_de_Cortes,Secuencial,2,0
Villa_de_Cortes,Nativitas,Secuencial,2,0
Nativitas,Portales,Secuencial,2,0
Portales,Ermita_2,Secuencial,2,0
Ermita_2,General_Anaya,Secuencial,2,0
General_Anaya,Tasquena,Secuencial,2,0
Indios_Verdes,Deportivo_18_de_Marzo_3,Secuencial,3,0
Deportivo_18_de_Marzo_3,Potrero,Secuencial,3,0
Potrero,La_Raza_3,Secuencial,3,0
La_Raza_3,Tlatelolco,Secuencial,3,0
Tlatelolco,Guerrero_3,Secuencial,3,0
Guerrero_3,Hidalgo_3,Secuencial,3,0
Hidalgo_3,Juarez,Secuencial,3,0
Juarez,Balderas_3,Secuencial,3,1
Balderas_3,Ninos_Heroes,Secuencial,3,0
Ninos_Heroes,Hospital_General,Secuencial,3,0
Hospital_General,Centro_Medico_3,Secuencial,3,1
Centro_Medico_3,Etiopia,Secuencial,3,0
Etiopia,Eugenia,Secuencial,3,0
Eugenia,Division_del_Norte,Secuencial,3,0
Division_del_Norte,Zapata_3,Secuencial,3,0
Zapata_3,Coyoacan,Secuencial,3,0
Coyoacan,Viveros,Secuencial,3,0
Viveros,Miguel_Angel_de_Quevedo,Secuencial,3,0
Miguel_Angel_de_Quevedo,Copilco,Secuencial,3,0
Copilco,Universidad,Secuencial,3,0
Martin_Carrera_4,Talisman,Secuencial,4,0
Talisman,Bondojito,Secuencial,4,0
Bondojito,Consulado_4,Secuencial,4,0
Consulado_4,Canal_del_Norte,Secuencial,4,0
Canal_del_Norte,Morelos_4,Secuencial,4,0
Morelos_4,Candelaria_4,Secuencial,4,0
Candelaria_4,Fray_Servando,Secuencial,4,0
Fray_Servando,Jamaica_4,Secuencial,4,0
Jamaica_4,Santa_Anita_4,Secuencial,4,0
Politecnico,Instituto_del_Petroleo_5,Secuencial,5,0
Instituto_del_Petroleo_5,Autobuses_del_Norte,Secuencial,5,0
Autobuses_del_Norte,La_Raza_5,Secuencial,5,0
La_Raza_5,Misterios,Secuencial,5,0
Misterios,Valle_Gomez,Secuencial,5,0
Valle_Gomez,Consulado_5,Secuencial,5,0
Consulado_5,Eduardo_Molina,Secuencial,5,0
Eduardo_Molina,Aragon,Secuencial,5,0
Aragon,Oceania_5,Secuencial,5,0
Oceania_5,Terminal_Aerea,Secuencial,5,0
Terminal_Aerea,Hangares,Secuencial,5,0
Hangares,Pantitlan_5,Secuencial,5,0
El_Rosario_6,Tezozomoc,Secuencial,6,0
Tezozomoc,Azcapotzalco,Secuencial,6,0
Azcapotzalco,Ferreria,Secuencial,6,0
Ferreria,Norte_45,Secuencial,6,0
Norte_45,Vallejo,Secuencial,6,0
Vallejo,Instituto_del_Petroleo_6,Secuencial,6,0
Instituto_del_Petroleo_6,Lindavista,Secuencial,6,0
Lindavista,Deportivo_18_de_Marzo_6,Secuencial,6,0
Deportivo_18_de_Marzo_6,La_Villa,Secuencial,6,0
La_Villa,Martin_Carrera_6,Secuencial,6,0
El_Rosario_7,Aquiles_Serdan,Secuencial,7,0
Aquiles_Serdan,Camarones,Secuencial,7,0
Camarones,Refineria,Secuencial,7,0
Refineria,Tacuba_7,Secuencial,7,0
Tacuba_7,San_Joaquin,Secuencial,7,0
San_Joaquin,Polanco,Secuencial,7,0
Polanco,Auditorio,Secuencial,7,0
Auditorio,Constituyentes,Secuencial,7,0
Constituyentes,Tacubaya_7,Secuencial,7,0
Tacubaya_7,San_Pedro_de_los_Pinos,Secuencial,7,0
San_Pedro_de_los_Pinos,San_Antonio,Secuencial,7,0
San_Antonio,Mixcoac_7,Secuencial,7,0
Mixcoac_7,Barranca_del_Muerto,Secuencial,7,0
Garibaldi_8,Bellas_Artes_8,Secuencial,8,0
Bellas_Artes_8,San_Juan_de_Letran,Secuencial,8,0
San_Juan_de_Letran,Salto_del_Agua_8,Secuencial,8,0
Salto_del_Agua_8,Doctores,Secuencial,8,0
Doctores,Obrera,Secuencial,8,0
Obrera,Chabacano_8,Secuencial,8,0
Chabacano_8,La_Viga,Secuencial,8,0
La_Viga,Santa_Anita_8,Secuencial,8,0
Santa_Anita_8,Coyuya,Secuencial,8,0
Coyuya,Iztacalco,Secuencial,8,0
Iztacalco,Apatlaco,Secuencial,8,0
Apatlaco,Aculco,Secuencial,8,0
Aculco,Escuadron_201,Secuencial,8,0
Escuadron_201,Atlalilco_8,Secuencial,8,0
Atlalilco_8,Iztapalapa,Secuencial,8,0
Iztapalapa,Cerro_de_la_Estrella,Secuencial,8,0
Cerro_de_la_Estrella,UAM,Secuencial,8,0
UAM,Constitucion_de_1917,Secuencial,8,0
Tacubaya_9,Patriotismo,Secuencial,9,0
Patriotismo,Chilpancingo,Secuencial,9,0
Chilpancingo,Centro_Medico_9,Secuencial,9,0
Centro_Medico_9,Lazaro_Cardenas,Secuencial,9,0
Lazaro_Cardenas,Chabacano_9,Secuencial,9,0
Chabacano_9,Jamaica_9,Secuencial,9,0
Jamaica_9,Mixiuhca,Secuencial,9,0
Mixiuhca,Velodromo,Secuencial,9,0
Velodromo,Ciudad_Deportiva,Secuencial,9,1
Ciudad_Deportiva,Puebla,Secuencial,9,0
