id,Linea,Orden,Tipo,Elevador,EE,Accesibilidad,Personas_Afectadas,lat,lng
Balbuena,1,1,Intermedia,Si,Si,Si,5292,19.423231,-99.102302
Balderas_1,1,2,Transbordo,Si,Si,Si,5526,19.42744,-99.149036
Boulevard_Puerto_Aereo,1,3,Intermedia,Si,No,No,5460,19.41967,-99.09595
Candelaria_1,1,4,Transbordo,No,No,No,5429,19.428837,-99.119511
Chapultepec,1,5,Intermedia,Si,No,No,1722,19.420783,-99.176288
Cuauhtemoc,1,6,Intermedia,Si,Si,Si,5265,19.425862,-99.154701
Gomez_Farias,1,7,Intermedia,No,Si,No,4354,19.416472,-99.09035
Insurgentes,1,8,Intermedia,Si,No,No,3070,19.423292,-99.163177
Isabel_la_Catolica,1,9,Intermedia,No,Si,No,5562,19.426732,-99.137685
Juanacatlan,1,10,Intermedia,Si,No,No,3152,19.41289,-99.182167
Merced,1,11,Intermedia,Si,No,No,4127,19.425558,-99.124639
Moctezuma,1,12,Intermedia,Si,Si,Si,6263,19.427218,-99.110305
Observatorio,1,13,Terminal,Si,No,No,7040,19.398237,-99.200363
Pantitlan_1,1,14,Terminal_Transbordo,No,No,No,4922,19.415359,-99.072132
Pino_Suarez_1,1,15,Transbordo,Si,Si,Si,4793,19.425336,-99.132943
Salto_del_Agua_1,1,16,Transbordo,Si,Si,Si,5122,19.426813,-99.142213
San_Lazaro_1,1,17,Transbordo,No,No,No,6139,19.430213,-99.114833
Sevilla,1,18,Intermedia,Si,Si,Si,2098,19.421916,-99.17058
Tacubaya_1,1,19,Transbordo,Si,Si,Si,6800,19.403439,-99.187102
Zaragoza,1,20,Intermedia,No,No,No,5222,19.412344,-99.08241
Allende,2,1,Intermedia,No,Si,No,5431,19.435514,-99.137406
Bellas_Artes_2,2,2,Transbordo,No,Si,No,6444,19.436243,-99.141955
Chabacano_9,2,3,Transbordo,Si,Si,Si,8267,19.408438,-99.135754
Colegio_Militar,2,4,Intermedia,No,Si,No,7189,19.449354,-99.172254
Cuatro_Caminos,2,5,Terminal,Si,Si,Si,1788,19.459592,-99.215899
Cuitlahuac,2,6,Intermedia,No,Si,No,6662,19.457448,-99.182038
Ermita_2,2,7,Transbordo,Si,Si,Si,5644,19.361883,-99.142942
General_Anaya,2,8,Intermedia,No,Si,No,3512,19.353259,-99.145002
Hidalgo_2,2,9,Transbordo,No,Si,No,6796,19.437295,-99.147105
Nativitas,2,10,Intermedia,No,Si,No,6797,19.379474,-99.140217
Normal,2,11,Intermedia,No,Si,No,6824,19.4444,-99.1674
Panteones,2,12,Intermedia,No,No,No,4815,19.458763,-99.203153
Pino_Suarez_2,2,13,Transbordo,Si,Si,Si,5175,19.425336,-99.132943
Popotla,2,14,Intermedia,No,Si,No,6564,19.452147,-99.1747
Portales,2,15,Intermedia,No,Si,No,6140,19.3698,-99.1416
Revolucion,2,16,Intermedia,Si,Si,Si,6227,19.439561,-99.155431
San_Antonio_Abad,2,17,Intermedia,No,Si,No,7974,19.418597,-99.134145
San_Cosme,2,18,Intermedia,,,No,7197,19.441706,-99.161096
Tacuba_2,2,19,Transbordo,No,Si,No,6900,19.459349,-99.189205
Tasquena,2,20,Terminal,No,Si,No,3906,19.344168,-99.142685
Viaducto,2,21,Intermedia,No,Si,No,6990,19.400808,-99.136891
Villa_de_Cortes,2,22,Intermedia,No,Si,No,2098,19.38753,-99.138994
Xola,2,23,Intermedia,No,Si,No,5789,19.3952,-99.1377
Zocalo,2,24,Intermedia,No,Si,No,6282,19.433248,-99.1329
Balderas_3,3,1,Transbordo,Si,Si,Si,5202,19.42744,-99.149036
Centro_Medico_3,3,2,Transbordo,Si,Si,Si,5861,19.406637,-99.155753
Copilco,3,3,Intermedia,Si,Si,Si,6216,19.335887,-99.176652
Coyoacan,3,4,Intermedia,No,No,No,3269,19.361417,-99.170709
Deportivo_18_de_Marzo_3,3,5,Transbordo,No,No,No,4454,19.483747,-99.126549
Division_del_Norte,3,6,Intermedia,No,No,No,5574,19.380021,-99.158885
Etiopia,3,7,Intermedia,Si,No,No,4869,19.395586,-99.156268
Eugenia,3,8,Intermedia,No,No,No,5716,19.385466,-99.157469
Guerrero_3,3,9,Transbordo,No,Si,No,7925,19.445146,-99.145389
Hidalgo_3,3,10,Transbordo,Si,No,No,6796,19.437295,-99.147105
Hospital_General,3,11,Intermedia,Si,Si,Si,6448,19.413578,-99.153886
Indios_Verdes,3,12,Terminal,No,No,No,3987,19.495358,-99.119468
Juarez,3,13,Intermedia,Si,Si,Si,5985,19.433167,-99.147792
La_Raza_3,3,14,Transbordo,Si,No,No,7761,19.470153,-99.136891
Miguel_Angel_de_Quevedo,3,15,Intermedia,No,Si,No,2778,19.346395,-99.18103
Ninos_Heroes,3,16,Intermedia,No,No,No,6565,19.419508,-99.150581
Potrero,3,17,Intermedia,No,No,No,5440,19.47691,-99.132171
Tlatelolco,3,18,Intermedia,No,No,No,8666,19.454979,-99.142814
Universidad,3,19,Terminal,No,No,No,6074,19.324427,-99.17397
Viveros,3,20,Intermedia,No,No,No,2471,19.353724,-99.176052
Zapata_3,3,21,Transbordo,No,No,No,4807,19.370952,-99.164937
Bondojito,4,1,Intermedia,No,No,No,7307,19.46461,-99.111958
Canal_del_Norte,4,2,Intermedia,No,No,No,9595,19.449112,-99.116507
Candelaria_4,4,3,Transbordo,No,No,No,5429,19.428837,-99.119511
Consulado_4,4,4,Transbordo,No,Si,No,8294,19.457893,-99.113932
Fray_Servando,4,5,Intermedia,No,Si,No,4738,19.421633,-99.120541
Jamaica_4,4,6,Transbordo,No,Si,No,6345,19.409004,-99.122171
Martin_Carrera_4,4,7,Terminal_Transbordo,No,No,No,6817,19.484921,-99.104404
Morelos_4,4,8,Transbordo,No,Si,No,8096,19.438974,-99.118266
Santa_Anita_4,4,9,Terminal_Transbordo,No,Si,No,8649,19.40273,-99.121699
Talisman,4,10,Intermedia,No,No,No,5870,19.47428,-99.108009
Aragon,5,1,Intermedia,No,No,No,7197,19.451236,-99.095886
Autobuses_del_Norte,5,2,Intermedia,Si,No,No,5144,19.478973,-99.140668
Consulado_5,5,3,Transbordo,No,No,No,8294,19.457893,-99.113932
Eduardo_Molina,5,4,Intermedia,No,No,No,7827,19.451378,-99.105434
Hangares,5,5,Intermedia,No,No,No,3981,19.424142,-99.087496
Instituto_del_Petroleo_5,5,6,Transbordo,No,No,No,2883,19.489573,-99.14526
La_Raza_5,5,7,Transbordo,Si,No,No,7844,19.470153,-99.136891
Misterios,5,8,Intermedia,No,No,No,8485,19.463315,-99.130797
Oceania_5,5,9,Transbordo,No,No,No,5861,19.445672,-99.087238
Pantitlan_5,5,10,Terminal_Transbordo,No,No,No,4922,19.415359,-99.072132
Politecnico,5,11,Terminal,No,No,No,2403,19.50082,-99.149294
Terminal_Aerea,5,12,Intermedia,,,No,4363,19.433734,-99.087667
Valle_Gomez,5,13,Intermedia,No,No,No,1650,19.458742,-99.119296
Azcapotzalco,6,1,Intermedia,No,No,No,7823,19.490989,-99.186416
Deportivo_18_de_Marzo_6,6,2,Transbordo,No,Si,No,4328,19.483747,-99.126549
El_Rosario_6,6,3,Terminal_Transbordo,Si,No,No,7011,19.504541,-99.20002
Ferreria,6,4,Intermedia,No,No,No,4151,19.490746,-99.173841
Instituto_del_Petroleo_6,6,5,Transbordo,No,No,No,3321,19.489573,-99.14526
La_Villa,6,6,Intermedia,No,Si,No,5544,19.481522,-99.117923
Lindavista,6,7,Intermedia,No,No,No,3478,19.487712,-99.13466
Martin_Carrera_6,6,8,Terminal_Transbordo,No,Si,No,6847,19.484921,-99.104404
Norte_45,6,9,Intermedia,No,No,No,790,19.488683,-99.162769
Tezozomoc,6,10,Intermedia,No,No,No,6897,19.495116,-99.196286
Vallejo,6,11,Intermedia,No,No,No,1650,19.490625,-99.15586
Aquiles_Serdan,7,1,Intermedia,No,Si,No,7597,19.490423,-99.19487
Auditorio,7,2,Intermedia,No,Si,No,1066,19.425498,-99.191995
Barranca_del_Muerto,7,3,Terminal,No,Si,No,3215,19.360648,-99.190149
Camarones,7,4,Intermedia,No,Si,No,6954,19.479135,-99.190063
Constituyentes,7,5,Intermedia,No,Si,No,3476,19.411858,-99.191265
El_Rosario_7,7,6,Terminal_Transbordo,Si,No,No,6441,19.504541,-99.20002
Mixcoac_7,7,7,Transbordo,No,Si,No,4991,19.375891,-99.187531
Polanco,7,8,Intermedia,No,Si,No,2040,19.433511,-99.191029
Refineria,7,9,Intermedia,No,Si,No,4763,19.469951,-99.190578
San_Antonio,7,10,Intermedia,No,Si,No,4835,19.384757,-99.186308
San_Joaquin,7,11,Intermedia,No,Si,No,7413,19.445793,-99.191823
San_Pedro_de_los_Pinos,7,12,Intermedia,No,Si,No,7218,19.391275,-99.186051
Tacuba_7,7,13,Transbordo,No,Si,No,6900,19.459349,-99.189205
Tacubaya_7,7,14,Transbordo,No,Si,No,6800,19.403439,-99.187102
Aculco,8,1,Intermedia,No,No,No,6703,19.374069,-99.108095
Apatlaco,8,2,Intermedia,No,No,No,8794,19.379292,-99.109597
Atlalilco_8,8,3,Transbordo,Si,No,No,6436,19.356134,-99.101315
Bellas_Artes_8,8,4,Transbordo,No,Si,No,6761,19.436243,-99.141955
Cerro_de_la_Estrella,8,5,Intermedia,No,No,No,5761,19.356012,-99.085522
Chabacano_2,8,6,Transbordo,Si,Si,Si,8267,19.408438,-99.135754
Constitucion_de_1917,8,7,Terminal,Si,No,No,8409,19.34593,-99.063892
Coyuya,8,8,Intermedia,Si,No,No,6809,19.398521,-99.113545
Doctores,8,9,Intermedia,No,No,No,7881,19.421612,-99.143372
Escuadron_201,8,10,Intermedia,No,No,No,6249,19.36492,-99.109554
Garibaldi_8,8,11,Terminal / Transbordo,No,Si,No,8936,19.444458,-99.139724
Iztacalco,8,12,Intermedia,Si,No,No,9674,19.388562,-99.112215
Iztapalapa,8,13,Intermedia,No,No,No,6921,19.357834,-99.093461
La_Viga,8,14,Intermedia,No,No,No,7397,19.406495,-99.126248
Obrera,8,15,Intermedia,No,No,No,7476,19.413558,-99.144187
Salto_del_Agua_8,8,16,Transbordo,No,Si,No,5581,19.426813,-99.142213
San_Juan_de_Letran,8,17,Intermedia,No,No,No,6301,19.431305,-99.141569
Santa_Anita_8,8,18,Transbordo,No,No,No,8469,19.40273,-99.121699
UAM,8,19,Intermedia,No,No,No,6454,19.351234,-99.074707
Centro_Medico_9,9,1,Transbordo,Si,Si,Si,5128,19.406637,-99.155753
Chabacano_8,9,2,Transbordo,No,Si,No,8267,19.408438,-99.135754
Chilpancingo,9,3,Intermedia,No,Si,No,5723,19.4059,-99.1686
Ciudad_Deportiva,9,4,Intermedia,Si,Si,Si,4113,19.408357,-99.091229
Jamaica_9,9,5,Transbordo,No,Si,No,6345,19.409004,-99.122171
Lazaro_Cardenas,9,6,Intermedia,No,No,No,7315,19.40696,-99.144874
Mixiuhca,9,7,Intermedia,No,No,No,4954,19.408478,-99.112902
Pantitlan_9,9,8,Terminal_Transbordo,No,Si,No,4922,19.415359,-99.072132
Patriotismo,9,9,Intermedia,No,No,No,5221,19.4062,-99.1789
Puebla,9,10,Intermedia,No,Si,No,5383,19.407142,-99.082432
Tacubaya_9,9,11,Transbordo,No,Si,No,6800,19.403439,-99.187102
Velodromo,9,12,Intermedia,Si,Si,Si,3604,19.408478,-99.103074
Atlalilco_12,12,1,Transbordo,Si,Si,Si,6436,19.356134,-99.101315
Calle_11,12,2,Intermedia,Si,Si,Si,4600,19.3205,-99.0857
Culhuacan,12,3,Intermedia,Si,Si,Si,8342,19.337,-99.109
Eje_Central,12,4,Intermedia,Si,Si,Si,4869,19.3614,-99.1514
Ermita_12,12,5,Transbordo,Si,Si,Si,5644,19.361883,-99.142942
Hospital_20_de_Noviembre,12,6,Intermedia,Si,Si,Si,4473,19.372,-99.171
Insugentes_Sur,12,7,Intermedia,Si,Si,Si,3070,19.3736,-99.1788
Lomas_Estrella,12,8,Intermedia,Si,Si,Si,6344,19.324,-99.095
Mexilcalcingo,12,9,Intermedia,Si,Si,Si,6068,19.3577,-99.1218
Mixcoac_12,12,10,Transbordo,Si,Si,Si,4991,19.375891,-99.187531
Nopalera,12,11,Intermedia,Si,Si,Si,6070,19.3,-99.046667
Olivos,12,12,Intermedia,Si,Si,Si,5099,19.304167,-99.059722
Parque_de_los_Venados,12,13,Intermedia,Si,Si,Si,,19.3707,-99.1587
Periferico_Oriente,12,14,Intermedia,Si,Si,Si,,19.3177,-99.0746
San_Andres_Tomatlan,12,15,Intermedia,Si,Si,Si,,19.3283,-99.1049
Tezonco,12,16,Intermedia,Si,Si,Si,5365,19.306111,-99.065
Tlahuac,12,17,Terminal,Si,Si,Si,2385,19.286256,-99.014114
Tlaltenco,12,18,Intermedia,Si,Si,Si,2442,19.294167,-99.023889
Zapata_12,12,19,Transbordo,Si,Si,Si,4807,19.370952,-99.164937
Zapotitlan_12,12,20,Intermedia,Si,Si,Si,3855,19.296667,-99.034444
Acatitla,A,1,Intermedia,No,No,No,6082,19.364737,-99.005892
Agricola_Oriental,A,2,Intermedia,No,No,No,8263,19.404835,-99.069901
Canal_de_San_Juan,A,3,Intermedia,No,No,No,6825,19.398683,-99.059365
Guelatao,A,4,Intermedia,No,No,No,4685,19.385162,-99.03574
La_Paz,A,5,Terminal,Si,No,No,0,19.350526,-98.960745
Los_Reyes,A,6,Terminal,No,No,No,0,19.358968,-98.976903
Pantitlan_A,A,7,Terminal_Transbordo,Si,No,No,4922,19.415359,-99.072132
Penon_Viejo,A,8,Intermedia,No,No,No,5097,19.37332,-99.017093
Santa_Martha,A,9,Intermedia,Si,No,No,4822,19.36,-98.994863
Tepalcates,A,10,Intermedia,Si,No,No,4377,19.391335,-99.046383
Bosque_de_Aragon,B,1,Intermedia,No,No,No,3310,19.458115,-99.069192
Buenavista,B,2,Terminal,Si,No,No,9081,19.446603,-99.153199
Ciudad_Azteca,B,3,Terminal,Si,No,No,0,19.534595,-99.0275
Deportivo_Oceania,B,4,Intermedia,No,No,No,2975,19.451034,-99.07917
Ecatepec,B,5,Intermedia,Si,No,No,0,19.515301,-99.035997
Garibaldi_B,B,6,Terminal_Transbordo,No,Si,No,8936,19.444458,-99.139724
Guerrero_B,B,7,Transbordo,No,Si,No,7925,19.445146,-99.145389
Impulsora,B,8,Intermedia,No,No,No,0,19.485851,-99.048915
Lagunilla,B,9,Intermedia,No,No,No,9145,19.443386,-99.131334
Morelos_B,B,10,Transbordo,No,Si,No,8096,19.438974,-99.118266
Muzquiz,B,11,Intermedia,No,No,No,0,19.501629,-99.042048
Nezahuacoyotl,B,12,Intermedia,No,No,No,1224,19.473066,-99.054537
Oceania_B,B,13,Transbordo,No,No,No,5861,19.445672,-99.087238
Olimpica,B,14,Intermedia,No,No,No,0,19.521328,-99.033422
Plaza_Aragon,B,15,Intermedia,No,No,No,0,19.528447,-99.030118
Ricardo_Flores_Magon,B,16,Intermedia,No,No,No,6598,19.436567,-99.103675
Rio_de_los_Remedios,B,17,Intermedia,No,No,No,0,19.490908,-99.046597
Romero_Rubio,B,18,Intermedia,No,No,No,6129,19.440735,-99.094362
San_Lazaro_B,B,19,Transbordo,Si,Si,Si,6750,19.430213,-99.114833
Tepito,B,20,Intermedia,No,No,No,10200,19.442495,-99.12333
Villa_de_Aragon,B,21,Intermedia,No,No,No,2098,19.461656,-99.061704
